brand,category,dimensions,id,imageurl,longdescr,modelno,orig_techdetails,original_id,price,shipweight,shortdescr,techdetails,title
lexar media,usb drives,7 0 x 5 0 x 1 0 inches,22705,http i walmartimages com i p 00 65 05 90 15 0065059015353 300x300 jpg,lexar 32gb twistturn jumpdrive 32gb high speed rotating capless design led activity light led blinks during file transfer ultra small ultra portable plug and play design quick and easy transfer carries your documents photos mp3 files and video clips color gray,ljdtt32gasbna, li 32gb li ultra small li ultra portable,631,61 8,0 5,wherever you go your information goes with you on the lexar 32gb twistturn jumpdrive the heart of all your information lies on the other side of the simple plug and play design of this jump drive ,32gb ultra small ultra portable,lexar 32gb twistturn jumpdrive
d link,electronics general,11 0 x 8 4 x 7 0 inches,22706,http i walmartimages com i p 00 79 00 69 31 0079006931841 300x300 jpg,d link dcs 6111 fixed dome day night ip camera wide dynamic range wdr sensor for excellent picture quality in high contrast lighting environments removable cut filter and auto iris varifocal lens allow for true day night operation 12 leds provide 20 meters of illumination even in pitch dark 3g mobile video support allows you to view a live video feed from your camera on a compatible 3g mobile phone or pda the built in 802 3af compliant power over ethernet poe module offers a convenient and cost effective installation tamper resistant screws protect the camera from interference,dcs6111, li wide dynamic range sensor li removable cut filter and auto iris varifocal lens li 12 leds provide 20 meters of illumination li 3g mobile video support li 802 3af compliant power over ethernet,632,399 82,3,the d link dcs 6111 day and night camera with wdr sensor is designed for professional around the clock surveillance the wide dynamic range sensor provides the dcs 6111 the capability to capture high resolution detailed images in high contrast lighting conditions and significantly improves the quality of realtime videos ,wide dynamic range sensor removable cut filter and auto iris varifocal lens 12 leds provide 20 meters of illumination 3g mobile video support 802 3af compliant power over ethernet,d link dcs 6111 fixed dome day night ip camera
evga,electronics general,5 7 x 4 4 x 1 9 inches,22707,http i walmartimages com i p 00 84 33 68 01 0084336801336 300x300 jpg,evga nvidia geforce gt 430 graphics card with 1gb ddr3 memory capacity 1gb bus type pci express 2 0 1 x hdmi 1 4a connector 1 x dual link dvi i connector microsoft directx 11 support nvidia physx technology blu ray 3d support nvidia cuda technology,01g p3 1430 lr, li capacity 1gb li bus type pci express 2 0 li blu ray 3d support,633,82 92,2,geforce your pc with the evga gt 430 and get the ultimate performance upgrade tap into the horsepower of the gpu for a visually charged boost on your favorite applications edit your photos and hd videos and push the limits of your web experience with a new generation of pu accelerated browsers level up your game with the next generation gaming architecture built from the ground up for directx 11 take the latest 3d movies home with blu ray 3d and geforce ,capacity 1gb bus type pci express 2 0 blu ray 3d support,evga nvidia geforce gt 430 graphics card with 1024mb ddr3 memory
trademark global,garden general,10 75 x 3 75 x 2 5 inches,22708,http i walmartimages com i mp 00 84 42 96 04 0084429604188 p255045 300x300 jpg,tmk2210 features uses 7 bright energy saving led lights motion sensor detects movement as you walk by stays on for 30 seconds past the last movement detected can be mounted anywhere you need it use it at your front door porch closet hallway basement attic or anywhere requires 3 c batteries not included dimensions 2 5 h x 3 75 w x 10 75 d,82 5293,features uses 7 bright energy saving led lights motion sensor detects movement as you walk by stays on for 30 seconds past the last movement detected can be mounted anywhere you need it use it at your front door porch closet hallway basement attic or anywhere requires 3 c batteries not included dimensions 2 5 h x 3 75 w x 10 75 d ,634,23 99,0 56,,features uses 7 bright energy saving led lights motion sensor detects movement as you walk by stays on for 30 seconds past the last movement detected can be mounted anywhere you need it use it at your front door porch closet hallway basement attic or anywhere requires 3 c batteries not included dimensions 2 5 h x 3 75 w x 10 75 d ,trademark global bright 7 led motion sensor entry light
jvc,electronics general,0 75 x 0 62 x 0 5 inches,22709,http i walmartimages com i p 00 04 68 38 04 0004683804620 300x300 jpg,jvc marshmallow headphones soft inner ear pieces snug fit reduces background noise tangle resistant 3 28 1m cord minimizes friction related noise when the cord is brushed against clothing color blue,hafx35an, li soft inner ear pieces li snug fit reduces background noise li tangle resistant 3 28 1m cord,635,15 54,0 15,the jvc marshmallow headphones are designed for comfort featuring super soft inner earpieces in two sizes for a snug fit that also reduces background noise ,soft inner ear pieces snug fit reduces background noise tangle resistant 3 28 1m cord,jvc marshmallow headphones blue
nikon,digital cameras,4 6 x 4 1 x 3 3 inches,22710,http i walmartimages com i p 00 01 82 08 26 0001820826256 300x300 jpg,nikon coolpix p500 12 1mp digital camera 12 1 megapixel resolution delivers excellent picture quality nikkor 4 144mm zoom lens offers f 3 5 to f 5 7 aperture and features a nikkor 36x optical zoom lens 3 0 tft lcd display with anti reflection coating you can view pictures and menus easily mpeg 4 avc h 264 movie file format record movies in 1080p full hd format on this nikon coolpix 12 1mp black digital camera continuous shooting 5 shots at approximately 8 frames per second get perfect action shots without sacrificing quality 19 scene modes provide creative options for taking eye catching photos with accurate color red eye fix automatically fixes the problem memory card specifications compatible sd sdhc sdxc memory cards internal memory 102mb 1 sd sdhc sdxc slot upon purchase of this item you will receive a promotional email for bonus prints from walmart com go to the url provided in the email anytime between 7 16 11 and 8 31 11 if you do not already have a walmart com photo account please create one so you can be credited for your prints enter the 16 digit code on your trial offer select the photo s of your choice and continue to checkout your redeemed credits will be applied upon an online purchase of 50 one hour photo 4 x 6 print s available for pickup in your local walmart store each trial offer code can only be used once and must be redeemed prior to the offer expiration deadline of 12 31 11 if you have any questions please contact walmart com customer service at photo walmart com ,26256, li 12 1 megapixel resolution li nikkor 4 5 94 5mm zoom lens li 19 scene modes,636,389 44,2 45,get 50 bonus prints from wal mart photo a 9 50 value zoom your world with the high powered closeness of this nikon coolpix 12 1mp black digital camera the nikkor 36x optical zoom lens breaks boundaries with the incredible power to shoot closer and wider than ever before note memory card not included purchase of a memory card is highly recommended ,12 1 megapixel resolution nikkor 4 5 94 5mm zoom lens 19 scene modes,nikon coolpix p500 12 1mp black digital camera 4 144mm zoom nikkor lens 3 lcd display hd video w 50 bonus prints
ep memory,usb drives,3 25 x 0 75 x 0 25 inches,22711,http i walmartimages com i p 00 82 14 55 01 0082145501805 300x300 jpg,ep 16gb usb 2 0 mobile swingdrive flash drive capacity 16gb usb 2 0 interface plug and play led indicator protective aluminum cap,epsw 16gb 2 0, li capacity 16gb li usb 2 0 interface li protective aluminum cap,637,29 84,0 5,the ep usb 2 0 mobile swingdrive allows you to take your files anywhere in the palm of your hand it is great for storing and transferring your mp3 s digital photos games spreadsheets documents presentations or any personal files from your computer you can even run an entire presentation from the mobile swingdrive the usb 2 0 interface is blazing fast with speeds up to 40 times faster than usb 1 1 and storage capacities are available up to 16gb it is windows and mac os compatible and does not require any drivers this unique design has a protective aluminum cap that swings away from the usb connector for easy accessibility ,capacity 16gb usb 2 0 interface protective aluminum cap,ep 16gb usb 2 0 mobile swingdrive flash drive
blackberry,laptop computers,7 6 x 5 1 x 0 4 inches,16gb on board storage memory ,http i walmartimages com i p 00 84 31 63 07 0084316307468 300x300 jpg, blackberry playbook 7 touchscreen tablet 1ghz dual core processor ,7 color touchscreen 1024x600 tft lcd screen with led backlight and multi touch capacitive screen ,built in 802 11a b g n wi fi bluetooth v2 1 edr additional 16gb playbook features 5mp 3mp cameras supporting 1080p hd video recording with 2 5x digital zoom image stabilization screen modes and geo tagging support ,638,micro usb headphone micro hdmi out connectors ,gps wifi geo location ,weighs 425grams or 9lbs software applications blackberry tablet os offering multi processing for true multitasking ,adobe flash player 10 1 built in support for html 5 with no compromise rendering of text graphics and video ,codec support for superior media playback creation and video calling 
amzer,electronics general,13 0 x 8 0 x 8 0 inches,22713,http i walmartimages com i p 08 90 33 84 03 0890338403291 300x300 jpg,amzer luxe argyle high gloss skin case for samsung galaxy designed to give you full access to your keyboard does not impair critical control both fashionable and functional superbly made perfect for protecting your samsung galaxy tab from scratches shock and the elements also withstands daily fingerprints and dirt,89720, li designed to give you full access to your keyboard li does not impair critical control li both fashionable and functional,639,14 88,7,the luxe argyle high gloss skin case from amzer has got just what it takes to protect your device from bumps and scratches and the fashion police the ultra high gloss finish abridges your device s subtle contours giving you the sleek look of a hard case and the shock absorption of a soft case the flexible yet durable skin resists impacts and abrasions so your device is kept in condition ,designed to give you full access to your keyboard does not impair critical control both fashionable and functional,amzer luxe argyle high gloss skin case for samsung galaxy clear
audiosource,furniture,19 9 x 11 8 x 1 5 inches,22714,http i walmartimages com i p 00 04 10 87 90 0004108790548 300x300 jpg,audiosource bi5 5 on center pair,bi5, li construction bracket mount for 5 quot in wall speakers li abs plastic li adjustable for vertical or horizontal installation,640,25 88,2 4,this bracket mount helps you conveniently place a 5 in wall speaker anywhere you want it ,construction bracket mount for 5 in wall speakers abs plastic adjustable for vertical or horizontal installation,audiosource bi5 5 in wall construction bracket mount
tribeca,electronics general,,22715,http i walmartimages com i mp 00 84 59 33 03 0084593303161 p255075 300x300 jpg,your quarterback needs the proper protection to last through the whole season same goes for your iphone 4 keep your phone in mint condition all season long with this oklahoma sooners iphone 4 case black shell full color logo will not rub off or fade easy access to all ports and touch screen officially licensed by the ncaa,fva3161,your quarterback needs the proper protection to last through the whole season same goes for your iphone 4 keep your phone in mint condition all season long with this oklahoma sooners iphone 4 case black shell ,641,29 99,,,your quarterback needs the proper protection to last through the whole season same goes for your iphone 4 keep your phone in mint condition all season long with this oklahoma sooners iphone 4 case black shell ,oklahoma sooners iphone 4 case black shell
elite screens,electronics general,90 9 x 5 04 x 4 77 inches,22716,http i walmartimages com i p 00 87 68 18 00 0087681800570 300x300 jpg,viewing size h x w 49 width,electric100h, ul li viewing size h x w 49 quot x 87 2 quot li li ceiling wall mount li li 65 quot height x 90 quot width li ul ,642,160,27,elite electric100h screens spectrum electrol projection screen,viewing size h x w 49 width,elite electric100h screens spectrum electrol projection screen
at t,electronics general,11 65 x 10 24 x 4 53 inches,22717,http i walmartimages com i p 00 65 05 30 01 0065053001473 300x300 jpg,compatible with the at t 4 line models programmable auto attendant 200 number caller id memory new call message indicator entry removal button large blue lighted display intercom between stations expandable up to 16 stations call transfer between stations 32 number speed dialer 16 intercom number locations can be used for one touch memory two touch memory and direct station dialing two data ports easy to install three party conferencing inside or outside lines or a combination power failure protection for all four lines battery not included individual station paging intercom or system wide paging headset jack 2 5mm four line backlit lcd panel redial hold mute flash last six numbers can be redialed volume control for receiver speakerphone headset ringer do not disturb wall mountable bracket included auto line selection rapid scroll navigation pad new message indication four lighted line indicators auto redial memory loss protection selectable ringer tones hearing aid compatible dsl compatible splitters filter not included every unit in the system must be assigned an extension number for the intercom feature to work call screening intercept time day stamp memo recording,1080,speakerphone headset jack built in digital answering system 32 number speed dialer backlit lcd panel 200 number caller id memory and two data ports ,643,129 84,4 18,the 1080 telephone is hearing aid compatible and can be connected to as many as four incoming telephone lines it features a speakerphone for hands free use and a headset jack compatible with most two band 2 5mm headsets sold separately there are two additional ports available for connecting the telephone to another device such as a fax machine or modem the 1080 also features a built in digital answering system which can store approximately 60 minutes of messages memos and conversations or a total of up to 99 messages you can access the answering system from a remote non system touch tone telephone or from another system telephone it also supports caller id and call waiting when you subscribe to these services from your local telephone service provider ,speakerphone headset jack built in digital answering system 32 number speed dialer backlit lcd panel 200 number caller id memory and two data ports ,at digital answerer
casio,photography general,3 75 x 2 75 x 1 5 inches,22718,http i walmartimages com i p 00 07 97 67 68 0007976768632 300x300 jpg,genuine leather pouch style case magnetic button closure internal pockets for credit cards money or memory cards compatible with the exilim ex z500 z600 z700 z750 z850 z1000 and ex s500 s600 s770 digital cameras 2 3 4 d,ex case2,compatible with the exilim ex z500 z600 z700 z750 z850 z1000 and ex s500 s600 s770 digital cameras,644,14 98,0 15,,compatible with the exilim ex z500 z600 z700 z750 z850 z1000 and ex s500 s600 s770 digital cameras,casio pouch style leather carrying case for the exilim s and z series digital cameras 2 75 d
case logic,electronics general,17 72 x 14 57 x 8 27 inches,22719,http i walmartimages com i p 00 08 58 54 20 0008585420409 300x300 jpg,rolling laptop case compatible with most laptops with a 15 17 display secure fit laptop protection adjustable compartment snugly holds your laptop for ultimate protection adjust it once and it stays a perfect fit file compartment stores folders and loose papers large rear compartment holds a change of clothes for the overnight business trip smart organization panel provides a place for electronics gadgets and accessories speed pocket a quick access secure place to put valuables watch keys cell phone etc prior to passing through airport security luggage strap securely attaches wheeled laptop case to most rolling luggage smooth in line skate wheels and locking telescoping handle,vnr 217black, ul li rolling laptop case compatible with most laptops with a 15 17 quot display li secure fit laptop protection adjustable compartment snugly holds your laptop for ultimate protection adjust it once and it stays a perfect fit li file compartment stores folders and loose papers li large rear compartment holds a change of clothes for the overnight business trip li smart organization panel provides a place for electronics gadgets and accessories li speed pocket a quick access secure place to put valuables watch keys cell phone etc prior to passing through airport security li luggage strap securely attaches wheeled laptop case to most rolling luggage li smooth in line skate wheels and locking telescoping handle ul ,645,76 88,6 93,case logic 17 rolling laptop case,rolling laptop case compatible with most laptops with a 15 17 display secure fit laptop protection adjustable compartment snugly holds your laptop for ultimate protection adjust it once and it stays a perfect fit file compartment stores folders and loose papers large rear compartment holds a change of clothes for the overnight business trip smart organization panel provides a place for electronics gadgets and accessories speed pocket a quick access secure place to put valuables watch keys cell phone etc prior to passing through airport security luggage strap securely attaches wheeled laptop case to most rolling luggage smooth in line skate wheels and locking telescoping handle,case logic 17 rolling laptop case
lexmark,printers,18 78 x 14 09 x 8 03 inches,22720,http i walmartimages com i p 00 73 46 46 27 0073464627567 300x300 jpg,print technology thermal inkjet color technology 4 color inkjet cyan magenta yellow black scan technology cis with 48 bit depth function color copying color printing color scanning faxing maximum print speed draft black up to 33 ppm maximum print speed draft color up to 30 ppm maximum print speed normal black up to 18 ppm maximum print speed normal color up to 11 ppm maximum copy speed draft black up to 25 cpm maximum copy speed draft color up to 21 cpm print resolution black up to 2400 x 1200 dpi print resolution color up to 4800 x 1200 dpi operating systems supported microsoft windows xp microsoft windows xp professional x64 microsoft windows vista microsoft windows 2000 5 00 2195 or later microsoft windows vista x64 apple mac os x 10 4 4 10 5 x intel powerpc apple mac os x 10 3 9 power pc linux microsoft windows 7 adf input paper sizes a4 legal letter adf paper input capacity up to 35 pages 20 lb or 75 gsm bond print asf paper input capacity maximum 100 pages 20 lb or 75 gsm bond media types supported card stock envelopes labels plain paper transparencies banner a4 or letter hagaki card iron on transfers photo paper heavy weight matte paper media sizes supported 10 envelope 7 3 4 envelope 9 envelope a4 a5 b5 envelope c5 envelope dl envelope 6 3 4 envelope a2 baronial a6 card b5 c6 envelope custom up to 8 5 borderless printing media sizes 4 standard ports usb 2 0 specification hi speed certified type b usb pass through via pictbridge port 802 11 b g n wireless pictbridge certified usb port yes digital media memory card compatibility sony memory stick memory stick pro secure digital sd card multimediacard mmc xd card sony memory stick duo with adapter mini secure digital mini sd card with adapter sony memory stick pro duo with adapter sandisk transflash memory module with adapter rs mmc with adapter xd card type m type h multimediacard mmc mobile with adapter micro secure digital micro sd card with adapter secure digital high capacity sdhc card with adapter reduce enlarge range 25 400 scan area maximum 8 5 x 14 inches modem speed 33 6 kbps size in h x w x d 8 03 x 18 78 x 14 09 in weight lb 17 56 lb print noise level operating 50 dba scan noise level operating 47 dba copy noise level operating 47 dba duty cycle maximum 5000 pages per month product warranty 5 year warranty 1 year limited warranty and 4 year extended warranty by registering within 90 days ,lexmark pro205, li prints at speeds up to 33 pages per minute in black li li prints photos from compatible cameras flash drives and memory cards li li maximum duty cycle of 5000 pages per month li ,646,128 54,17 74,print wirelessly from where you work best using wireless n technology with the lexmark prospect wi fi protected setup makes connecting easier and more secure finish urgent print jobs with speeds up to 33 ppm save paper and money with eco mode for one touch automatic two sided printing view a photo on the vibrant 2 4 color lcd and print it in just 24 seconds ,prints at speeds up to 33 pages per minute in black prints photos from compatible cameras flash drives and memory cards maximum duty cycle of 5000 pages per month,lexmark prospect pro205 wireless n all in one printer scanner copier fax
kensington,mice,6 25 x 5 0 x 2 0 inches,22721,http i walmartimages com i p 00 08 58 96 72 0008589672327 300x300 jpg,trackball wired usb compatible with windows vista windows xp mac os x,k72327us, ul li trackball li li wired li li usb li ul ,647,96 82,1 1,your computing experience just got smoother faster and easier with the kensington slimblade k72327us trackball choose navigation mode to control cursor and scrolling media mode controls volume play pause stop and track forward backward while view mode zooms in out and pans and it does it all with the ball to put complete control at your fingertips ,trackball wired usb,kensington k72327us slimblade trackball usb
hp,printers,,22722,http i walmartimages com i p 00 88 35 85 59 0088358559570 300x300 jpg,cyan color ink page yield 7 000 pages compatible with the hp laserjet cp3525 and cm3530 mfp printers,ce251a, ul li cyan color ink li li page yield 7 000 pages li li compatible with the hp laserjet cp3525 and cm3530 mfp printers li ul ,648,367 24,3 84,this toner cartridge is designed for use with hewlett packard clj cp3525 and clj cm3530 mfp series yields 7 000 pages ,cyan color ink page yield 7 000 pages compatible with the hp laserjet cp3525 and cm3530 mfp printers,hp ce25 toner 7000 page yield
lexar media,usb drives,6 9 x 4 9 x 0 4 inches,22723,http i walmartimages com i p 00 65 05 90 15 0065059015542 300x300 jpg,form factor memory stick pro duo 8gb,lmspd8gbbsbna, ul li form factor memory stick pro duo li li 8gb li ul ,649,22 99,0 5,lexar media lmspd8gbbsbna 8gb platinum ii memory stick pro duo card,form factor memory stick pro duo 8gb,lexar media lmspd8gbbsbna 8gb platinum ii memory stick pro duo card
targus,electronics general,,22724,http i walmartimages com i p 00 09 26 36 22 0009263622033 300x300 jpg,notebook case supports up to 15 4 display screen 2 separate zippered file sections accommodate files and magazines easy grip handle and shoulder strap carrying options,, ul li notebook case li li supports up to 15 4 display screen li li 2 separate zippered file sections accommodate files and magazines li ul ,650,23 88,,the targus messenger notebook case fits most notebooks with up to 15 4 a padded notebook compartment offers extra protection and the front load workstation includes organization essentials such as media storage pen loops and notebook accessory compartments mobility is made easy with the easy grip top handle and adjustable padded shoulder strap ,notebook case supports up to 15 4 display screen 2 separate zippered file sections accommodate files and magazines,targus tcm004us messenger notebook case
draper,electronics general,,22725,http i walmartimages com i mp 00 64 10 92 10 0064109210465 p255045 300x300 jpg,dr2797motorized ceiling recessed tab tensioned front projection screen sleek white extruded aluminum case installs above ceiling trim flange finishes the ceiling opening tab tensioned viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later time features now available in 16 10 and 15 9 laptop presentation formats install an access case first and the screen later motor in roller operation 12 extra drop is standard depending on surface available in sizes through 12 x 12 and 200 ntsc custom sizes available warranted for one year against defects in materials and workmanship screen material m2500 higher gain surface provides good black retention with accurate light colors and whites m2500 is black backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces on axis gain of 1 5 ,102301,motorized ceiling recessed tab tensioned front projection screen sleek white extruded aluminum case installs above ceiling trim flange finishes the ceiling opening tab tensioned viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later time features now available in 16 10 and 15 9 laptop presentation formats install an access case first and the screen later motor in roller operation 12 extra drop is standard depending on surface available in sizes through 12 x 12 and 200 ntsc custom sizes available warranted for one year against defects in materials and workmanship screen material m2500 higher gain surface provides good black retention with accurate light colors and whites m2500 is black backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces on axis gain of 1 5 ,651,2107 95,103,,motorized ceiling recessed tab tensioned front projection screen sleek white extruded aluminum case installs above ceiling trim flange finishes the ceiling opening tab tensioned viewing surface and roller can be installed at the same time or can be added quickly and easily without tools at a later time features now available in 16 10 and 15 9 laptop presentation formats install an access case first and the screen later motor in roller operation 12 extra drop is standard depending on surface available in sizes through 12 x 12 and 200 ntsc custom sizes available warranted for one year against defects in materials and workmanship screen material m2500 higher gain surface provides good black retention with accurate light colors and whites m2500 is black backed and tolerates a higher ambient light level in the audience area than many front projection screen surfaces on axis gain of 1 5 ,draper m2500 access series v electric screen hdtv 119 diagonal
draper,electronics general,,22726,http i walmartimages com i mp 00 64 10 92 12 0064109212835 p255045 300x300 jpg,dr7915the infinite resolution unifromity screen is developed specifically for today s high resolution single lens projectors today s projectors offer highter resolutions than ever before which means more information for your audience to absorb drapers screens are up to the challenge this screen includes unbeatable uniformity of the projected image from top to bottom and from center to corner free of hot spots excellent color contrast properties and ability to deal with uncontrolled ambient light are also present features single element rear projection screen 180 viewing cone 1 4 thick acrylic substrate irus does not have a fixed focal length so there are no focal length incompatibility issues warranted for one year against defects in materials and workmanship,125123,the infinite resolution unifromity screen is developed specifically for today s high resolution single lens projectors today s projectors offer highter resolutions than ever before which means more information for your audience to absorb drapers screens are up to the challenge this screen includes unbeatable uniformity of the projected image from top to bottom and from center to corner free of hot spots excellent color contrast properties and ability to deal with uncontrolled ambient light are also present features single element rear projection screen 180 viewing cone 1 4 thick acrylic substrate irus does not have a fixed focal length so there are no focal length incompatibility issues warranted for one year against defects in materials and workmanship installation instructions,652,6173 95,360,,the infinite resolution unifromity screen is developed specifically for today s high resolution single lens projectors today s projectors offer highter resolutions than ever before which means more information for your audience to absorb drapers screens are up to the challenge this screen includes unbeatable uniformity of the projected image from top to bottom and from center to corner free of hot spots excellent color contrast properties and ability to deal with uncontrolled ambient light are also present features single element rear projection screen 180 viewing cone 1 4 thick acrylic substrate irus does not have a fixed focal length so there are no focal length incompatibility issues warranted for one year against defects in materials and workmanship installation instructions,draper irus rear projection screen with system 400 black frame 120 diagonal ntsc format
startech,electronics general,8 0 x 8 0 x 0 25 inches,22727,http i walmartimages com i p 00 06 50 30 83 0006503083366 300x300 jpg,startech 6 rj 45 to db9 cisco console management router cable replacement cable for use with 600 800 1600 and 1700 series cisco routers cable length 6,db9concabl6, li replacement cable li for use with 600 800 1600 and 1700 series cisco routers li cable length 6 ,653,19,0 22,this 6 cisco console management cable is designed as a replacement cable for use with several cisco routers including the 600 800 1600 and 1700 series ,replacement cable for use with 600 800 1600 and 1700 series cisco routers cable length 6,startech 6 rj 45 to db9 cisco console management router cable
draper,electronics general,,22728,http i walmartimages com i mp 00 64 10 92 12 0064109212785 p255045 300x300 jpg,dr7973the vortex is a marriage of the best features of two rear screen technologies optical and diffusion a 5mm fresnel lens gathers the light from the projector and directs it at a right angle through the screen as the light exits the screen on the audience side a diffusion medium redistributes the light evenly in all directions up down left right and center giving an exceptionally wide viewing cone in both the horizontal and vertical axes an extraordinary center to corner brightness ratio gives a uniform brightness witout hot spots vortex features vortex is designed to be used with single lens projectors projected light is collimated then diffused evenly making the vortex well suited for use in videowalls and rooms with tiered seating patterns charcoal grey tint provides superior color contrast even under harsh ambient light diffusion medium is in the acrylic so it can t be scratched or damaged warranted for one year against defects in materials and workmanship,125059,the vortex is a marriage of the best features of two rear screen technologies optical and diffusion a 5mm fresnel lens gathers the light from the projector and directs it at a right angle through the screen as the light exits the screen on the audience side a diffusion medium redistributes the light evenly in all directions up down left right and center giving an exceptionally wide viewing cone in both the horizontal and vertical axes an extraordinary center to corner brightness ratio gives a uniform brightness witout hot spots vortex features vortex is designed to be used with single lens projectors projected light is collimated then diffused evenly making the vortex well suited for use in videowalls and rooms with tiered seating patterns charcoal grey tint provides superior color contrast even under harsh ambient light diffusion medium is in the acrylic so it can t be scratched or damaged warranted for one year against defects in materials and workmanship installation instructions,654,4710,150,,the vortex is a marriage of the best features of two rear screen technologies optical and diffusion a 5mm fresnel lens gathers the light from the projector and directs it at a right angle through the screen as the light exits the screen on the audience side a diffusion medium redistributes the light evenly in all directions up down left right and center giving an exceptionally wide viewing cone in both the horizontal and vertical axes an extraordinary center to corner brightness ratio gives a uniform brightness witout hot spots vortex features vortex is designed to be used with single lens projectors projected light is collimated then diffused evenly making the vortex well suited for use in videowalls and rooms with tiered seating patterns charcoal grey tint provides superior color contrast even under harsh ambient light diffusion medium is in the acrylic so it can t be scratched or damaged warranted for one year against defects in materials and workmanship installation instructions,draper vortex rear projection screen with no frame 84 diagonal ntsc format
case logic,mp3 accessories,4 0 x 2 5 x 0 75 inches,22729,http i walmartimages com i p 00 85 85 42 18 0085854218856 300x300 jpg,case logic universal mp3 armband for ipod nano 5g zunes and similar sized mp3 players one hand easy adjust armband air mesh covered back panel for comfort clear front panel protects screen cord management loop color gray,uma 102gray, li one hand easy adjust armband li air mesh covered back panel for comfort li clear front panel protects screen,655,10 09,0 5,this universal sport armband is compatible with small mp3 players a thin lycra cover and clear screen protector lets you change songs and view the screen without having to remove player a hidden storage pocket stores health club id credit card money and or keys while working out the one hand easy adjust armband eliminates unnecessary fumbling plug your headphones into the jack opening at bottom of case ,one hand easy adjust armband air mesh covered back panel for comfort clear front panel protects screen,case logic universal mp3 armband clear front panel gray
avery,stationery amp office machinery,,22730,http i walmartimages com i p 00 07 27 82 11 0007278211201 300x300 jpg,avery style edge insertable reference dividers with 8 tabs 3 hole punch for use in standard binders tabs insert from the side unique tab design features translucent plastic easy to use with free avery templates software,11201, li 3 hole punch for use in standard binders li tabs insert from the side li translucent plastic tabs,656,5 47,0 366,avery style edge insertable reference dividers with 8 tabs are great for filing and classifying documents the tabs insert from the side and provide a secure fit avery style edge insertable reference dividers are a professional choice for your home or office needs ,3 hole punch for use in standard binders tabs insert from the side translucent plastic tabs,avery style edge insertable reference dividers with 8 tabs
canon,photography general,8 0 x 3 25 x 2 0 inches,22731,http i walmartimages com i p 00 01 38 03 06 0001380306471 300x300 jpg,compatible with the powershot sd900 sd800is sd700is kit includes ac adapter ca dc10 and dc coupler dr30 provides uninterrupted power for shooting or downloading,ack dc30, li compatible with the powershot sd900 sd800is sd700is,657,52 88,0 85,,compatible with the powershot sd900 sd800is sd700is,canon ac adapter kit for powershot sd900 sd800is sd700is
ep memory,usb drives,6 25 x 3 25 x 1 5 inches,22732,http i walmartimages com i p 00 84 59 99 00 0084599900469 300x300 jpg,action sport drives 16gb santa cruz usb snow drive santa cruz graphics with rubberized texture neck strap attachment on usb drive usb 2 0 high speed interface true plug and play connection for hot swap function led indicates when drive is in use no drivers required,sc snowsp 16g, li santa cruz graphics with rubberized texture li neck strap attachment on usb drive li usb 2 0 high speed interface,658,28 98,1 5,the action sport drives santa cruz usb snow drive is the first and only authentic usb flash drive snowboard combining innovative design with the graphics from an actual santa cruz snowboard this flash drive delivers in both form and function ,santa cruz graphics with rubberized texture neck strap attachment on usb drive usb 2 0 high speed interface,action sport drives 16gb santa cruz usb snow drive spider
keyspan,electronics general,9 75 x 6 5 x 2 5 inches,22733,http i walmartimages com i p 00 67 26 03 04 0067260304006 300x300 jpg,keyspan usb twin serial adapter supports data rates up to 1mbps usb powered 2 x rs 422 ports,usa 28xg, li supports data rates up to 1mbps li usb powered li 2 x rs 422 ports,659,70 73,0 25,our usb twin serial adapter is recommended by dozens of serial device manufacturers and has been certified by apple for use with final cut pro ,supports data rates up to 1mbps usb powered 2 x rs 422 ports,keyspan usb twin serial adapter
redi tag corporation,stationery amp office machinery,,22734,http i walmartimages com i mp 00 01 25 34 31 0001253431002 p255045 300x300 jpg,uiq1014heavy duty plastic tabs won t curl or tear attach to side of page for easy viewing blank write on tabs preprinted numerical and alphabetical tabs permanent adhesive white 1 2 x 1 file insert tab type n a global product type file inserts tabs tab cut n a color s white product details quantity 104 per pack global product type file inserts tabs post consumer recycled content percent 0 pct file inserts tabs special features permanent adhesive preprinted 11 thru 20 color s white pre consumer recycled content percent 0 pct total recycled content percent 0 pct tab material s plastic,,heavy duty plastic tabs won t curl or tear attach to side of page for easy viewing blank write on tabs preprinted numerical and alphabetical tabs permanent adhesive white 1 2 x 1 file insert tab type n a global product type file inserts tabs tab cut n a color s white product details quantity 104 per pack global product type file inserts tabs post consumer recycled content percent 0 pct file inserts tabs special features permanent adhesive preprinted 11 thru 20 color s white pre consumer recycled content percent 0 pct total recycled content percent 0 pct tab material s plastic ,660,1 99,0 03,,heavy duty plastic tabs won t curl or tear attach to side of page for easy viewing blank write on tabs preprinted numerical and alphabetical tabs permanent adhesive white 1 2 x 1 file insert tab type n a global product type file inserts tabs tab cut n a color s white product details quantity 104 per pack global product type file inserts tabs post consumer recycled content percent 0 pct file inserts tabs special features permanent adhesive preprinted 11 thru 20 color s white pre consumer recycled content percent 0 pct total recycled content percent 0 pct tab material s plastic ,redi tag corporation side mount self stick plastic index tabs nos 11 20 1in we 104 pack
